human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
RHOT2,0.000,58.393,Rhot2,0.000,19.600,0.000
CYHR1,0.000,30.517,Cyhr1,0.000,18.850,0.000
MED16,0.000,31.502,Med16,0.000,27.930,0.000
GPBP1L1,0.000,28.264,Gpbp1l1,0.000,20.800,0.000
SDCBP,0.000,34.215,Sdcbp,0.000,37.410,0.000
HN1L,0.000,41.505,Hn1l,0.000,45.790,0.000
SLU7,0.000,13.650,Slu7,0.000,10.960,0.000
PGLYRP2,0.000,0.000,Pglyrp2,0.000,0.003,0.000
RALGPS1,0.331,4.801,Ralgps1,0.000,1.922,0.576
SGTB,0.000,3.133,Sgtb,0.000,3.981,0.000
ADAMTSL4,0.000,4.390,Adamtsl4,0.000,0.377,0.000
CHCHD4,0.000,4.283,Chchd4,0.000,17.690,0.000
MED1,0.000,11.800,Med1,0.000,13.490,0.000
HEATR1,0.000,8.954,Heatr1,0.000,10.820,0.000
DUSP13,0.000,0.000,Dusp13,0.000,0.008,0.000
ERMAP,0.000,6.056,Ermap,0.000,0.052,0.000
KRT31,0.000,0.000,Krt31,0.000,0.000,0.000
IL1A,0.000,5.916,Il1a,0.000,0.269,0.000
ADAM5,0.000,0.000,Adam5,0.000,0.190,0.000
EPHX2,0.000,14.269,Ephx2,0.000,0.830,0.000
SEMA6C,0.000,13.624,Sema6c,0.000,5.856,0.000
CCDC107,0.000,3.566,Ccdc107,0.000,16.700,0.000
PWWP2B,0.000,6.280,Pwwp2b,0.000,0.703,0.000
KCNB2,0.237,0.800,Kcnb2,0.000,0.133,0.486
DNAJB7,0.000,0.712,Dnajb7,0.000,0.052,0.000
IL17RB,0.000,4.151,Il17rb,0.000,0.067,0.000
RCL1,0.852,8.297,Rcl1,0.000,23.210,0.923
ILF3,0.000,178.547,Ilf3,0.000,55.410,0.000
CATSPER4,0.000,0.159,Catsper4,0.000,0.054,0.000
DGAT2L6,0.000,0.128,Dgat2l6,0.000,0.000,0.000
EXOSC1,0.000,11.410,Exosc1,0.000,16.740,0.000
POLR2G,0.000,67.686,Polr2g,0.000,51.110,0.000
NSMCE1,0.442,35.262,Nsmce1,0.000,29.100,0.665
ACIN1,0.000,78.810,Acin1,0.000,77.770,0.000
BPI,0.000,0.470,Bpi,0.000,0.016,0.000
HBP1,0.000,17.206,Hbp1,0.000,28.060,0.000
TMCC2,0.000,4.560,Tmcc2,0.000,9.530,0.000
ADCK2,0.000,12.998,Adck2,0.000,5.028,0.000
TRIM36,0.205,2.620,Trim36,0.000,0.460,0.453
SNORA21,0.000,0.000,Snora21,0.000,0.370,0.000
