human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
SOX4,7.021,70.872,Sox4,10.140,90.840,-0.753
SALL1,7.621,84.050,Sall1,9.665,90.220,-0.492
MYCN,4.939,19.128,Mycn,8.435,21.500,-0.956
NCAM1,2.114,48.097,Ncam1,8.420,29.520,-1.943
CDH4,1.420,1.547,Cdh4,8.111,10.360,-2.167
TBL1XR1,5.475,28.780,Tbl1xr1,7.999,9.587,-0.687
TOX3,3.850,0.728,Tox3,7.886,8.355,-1.178
NPVF,6.406,0.000,Npvf,7.739,0.026,-0.354
NFE2L3,6.438,4.074,Nfe2l3,7.709,0.469,-0.338
GAS1,6.911,108.332,Gas1,7.224,234.800,-0.083
FGF9,2.051,0.089,Fgf9,7.161,2.882,-1.683
SIX2,7.937,157.119,Six2,7.141,333.300,0.205
PBX1,4.039,28.958,Pbx1,7.126,33.800,-0.924
ENC1,1.641,50.875,Enc1,7.072,57.050,-1.840
FOXD2,2.461,3.375,Foxd2,6.979,36.840,-1.470
FOXP1,2.966,6.961,Foxp1,6.930,22.380,-1.260
ZFP36L1,5.917,143.870,Zfp36l1,6.803,104.200,-0.248
HES1,2.730,100.867,Hes1,6.700,19.960,-1.293
SERP2,1.467,4.813,Serp2,6.602,2.657,-1.807
MAP3K7,1.294,10.815,Map3k7,6.430,17.560,-1.848
CDH11,5.901,70.419,Cdh11,6.401,135.300,-0.142
HOXB1,2.856,0.119,Hoxb1,6.332,0.089,-1.147
PANK3,2.509,16.887,Pank3,6.264,13.130,-1.268
SLIT3,2.525,20.731,Slit3,6.254,6.123,-1.259
MEIS2,3.850,72.815,Meis2,6.249,62.740,-0.755
KIF26B,3.960,31.796,Kif26b,6.068,52.030,-0.665
CADM1,5.018,54.243,Cadm1,6.053,27.730,-0.311
SLCO3A1,0.663,1.281,Slco3a1,6.023,9.678,-2.073
UNCX,0.521,134.464,Uncx,6.004,170.800,-2.147
AUTS2,9.956,38.983,Auts2,5.989,8.436,0.993
EYA1,2.540,77.812,Eya1,5.970,64.920,-1.176
SRBD1,6.722,4.784,Srbd1,5.921,9.078,0.225
NRP1,5.633,36.387,Nrp1,5.862,27.440,-0.067
SPRED2,2.903,15.236,Spred2,5.759,20.500,-0.970
SMYD3,1.751,8.491,Smyd3,5.734,3.989,-1.456
CDH26,2.020,0.544,Cdh26,5.680,0.073,-1.319
NUAK1,2.698,4.099,Nuak1,5.558,14.860,-0.995
GFRA1,4.087,56.309,Gfra1,5.528,45.810,-0.465
SOBP,4.639,17.487,Sobp,5.465,13.020,-0.260
TSHZ2,1.373,2.481,Tshz2,5.401,25.420,-1.548
ST8SIA2,0.552,9.720,St8sia2,5.357,5.651,-1.977
NAV2,2.099,25.694,Nav2,5.323,15.390,-1.183
PAX2,2.367,160.079,Pax2,5.308,114.700,-1.062
SULF2,1.278,9.424,Sulf2,5.249,105.300,-1.554
CITED2,3.077,52.405,Cited2,5.225,62.290,-0.745
CDH5,3.866,1.377,Cdh5,5.185,0.523,-0.439
FGFR2,4.292,41.355,Fgfr2,5.107,19.360,-0.266
HUNK,1.104,11.987,Hunk,5.102,14.970,-1.605
SNCAIP,1.925,7.974,Sncaip,5.092,41.590,-1.196
FAM49A,3.740,1.718,Fam49a,5.078,2.081,-0.451
ROBO2,1.183,34.824,Robo2,5.063,64.210,-1.552
LMX1A,2.777,0.000,Lmx1a,5.038,0.006,-0.809
GSDMC,1.799,0.436,Gsdmc,5.033,0.000,-1.238
PTPRM,3.392,31.478,Ptprm,5.033,14.270,-0.565
SHISA2,4.907,39.252,Shisa2,5.024,50.540,-0.037
MCTP2,2.241,2.643,Mctp2,4.999,1.088,-1.025
ATRNL1,1.420,6.237,Atrnl1,4.955,10.460,-1.400
SNX11,0.852,6.078,Snx11,4.950,5.133,-1.701
TOMM20,4.450,73.158,Tomm20,4.931,134.600,-0.157
MSC,2.367,0.312,Msc,4.896,1.290,-0.939
DPF3,0.884,3.500,Dpf3,4.872,8.170,-1.662
HAS2,4.860,20.205,Has2,4.862,33.010,-0.001
SLIT2,1.546,6.101,Slit2,4.852,11.360,-1.307
ZBTB20,1.231,0.779,Zbtb20,4.842,3.068,-1.466
FANCC,1.389,6.705,Fancc,4.828,3.105,-1.379
WT1,4.102,101.308,Wt1,4.793,72.790,-0.232
CREB5,5.491,0.957,Creb5,4.764,0.209,0.227
PPAP2B,6.043,13.586,Ppap2b,4.695,14.510,0.411
RORA,2.162,1.412,Rora,4.671,1.040,-0.960
RYBP,1.893,22.236,Rybp,4.632,17.790,-1.072
CASZ1,1.215,2.761,Casz1,4.612,2.819,-1.407
ZMAT4,3.187,4.095,Zmat4,4.573,0.245,-0.497
ATP8A2,3.740,1.025,Atp8a2,4.563,0.352,-0.286
FOXL1,3.140,3.749,Foxl1,4.519,2.042,-0.498
SNX2,1.830,24.892,Snx2,4.514,33.270,-1.065
SLC2A12,0.694,0.644,Slc2a12,4.499,1.312,-1.670
AJAP1,1.231,0.781,Ajap1,4.485,15.880,-1.361
LPHN2,1.389,43.631,Lphn2,4.485,39.890,-1.278
CD83,2.588,29.186,Cd83,4.475,8.863,-0.710
EIF3M,1.199,109.920,Eif3m,4.440,138.400,-1.365
GDNF,2.351,13.554,Gdnf,4.426,24.520,-0.797
GMDS,5.191,15.362,Gmds,4.396,8.880,0.257
ZMIZ1,5.254,51.800,Zmiz1,4.382,51.500,0.281
ACAA2,0.994,29.439,Acaa2,4.352,41.640,-1.452
CNKSR3,4.181,30.890,Cnksr3,4.342,10.360,-0.055
DNAJC5B,0.000,0.164,Dnajc5b,4.342,0.039,-2.084
THAP1,0.000,2.949,Thap1,4.298,5.513,-2.073
NOS1,0.536,0.175,Nos1,4.284,0.621,-1.707
EYA4,3.156,1.534,Eya4,4.269,20.990,-0.409
PDGFC,2.761,64.055,Pdgfc,4.254,48.830,-0.564
PHACTR1,0.773,1.009,Phactr1,4.239,8.157,-1.548
SOX6,2.588,2.153,Sox6,4.171,0.132,-0.609
SMAD2,0.615,8.340,Smad2,4.141,17.900,-1.617
NPHP4,0.505,8.204,Nphp4,4.127,4.346,-1.683
TCF21,2.162,43.079,Tcf21,4.097,45.020,-0.774
CTSO,2.461,7.531,Ctso,4.073,0.893,-0.630
NARG2,0.284,11.646,Narg2,4.058,7.423,-1.811
DBX1,1.609,0.000,Dbx1,4.053,0.000,-1.027
PPP4R2,2.446,35.103,Ppp4r2,4.048,28.520,-0.629
EPHA4,3.108,4.038,Epha4,4.043,4.130,-0.350
MKI67,2.745,15.180,Mki67,4.043,25.580,-0.498
TRAF1,0.978,5.165,Traf1,4.043,17.780,-1.368
SLC24A2,0.316,0.026,Slc24a2,4.034,0.002,-1.783
PHLDA1,4.260,35.810,Phlda1,4.029,30.420,0.080
FAM19A2,0.000,0.074,Fam19a2,4.014,4.930,-2.003
TLE3,3.692,11.127,Tle3,4.014,23.790,-0.116
ACSL3,2.793,24.546,Acsl3,4.004,26.260,-0.465
MLLT3,0.347,1.482,Mllt3,3.989,3.693,-1.749
CPN2,2.162,0.000,Cpn2,3.985,0.000,-0.735
TBC1D7,2.509,12.631,Tbc1d7,3.960,10.430,-0.571
SHROOM3,3.377,21.634,Shroom3,3.945,36.350,-0.210
MPDZ,2.730,10.132,Mpdz,3.931,11.710,-0.465
PACRG,0.331,5.927,Pacrg,3.931,0.968,-1.743
TGFBR2,1.452,8.994,Tgfbr2,3.911,7.290,-1.062
FGFR1,1.136,72.197,Fgfr1,3.901,119.000,-1.232
INSC,1.041,0.000,Insc,3.872,0.025,-1.277
WNT16,0.000,0.036,Wnt16,3.857,0.024,-1.964
DAPK1,3.235,11.060,Dapk1,3.852,10.840,-0.232
RGMA,1.104,19.302,Rgma,3.818,13.080,-1.223
RBMS3,1.609,1.937,Rbms3,3.808,4.883,-0.945
CDKAL1,2.872,5.764,Cdkal1,3.798,4.309,-0.359
MPPED2,3.408,1.047,Mpped2,3.769,0.850,-0.135
TTC12,0.000,8.866,Ttc12,3.740,0.341,-1.934
KRR1,4.418,12.671,Krr1,3.715,10.000,0.246
LIPG,1.278,8.212,Lipg,3.700,2.181,-1.086
MGAT5,2.304,10.759,Mgat5,3.695,2.759,-0.568
TIGIT,0.000,0.070,Tigit,3.676,0.041,-1.917
THSD4,3.897,9.653,Thsd4,3.671,17.670,0.082
NRP2,3.061,10.967,Nrp2,3.666,3.164,-0.233
PLCB4,1.515,3.333,Plcb4,3.661,6.278,-0.943
ABR,0.000,33.657,Abr,3.632,52.030,-1.906
ZHX2,1.704,12.125,Zhx2,3.627,14.120,-0.833
NEDD1,0.757,7.665,Nedd1,3.617,12.840,-1.367
FOXC1,4.386,73.292,Foxc1,3.602,31.320,0.277
PREX1,0.789,2.913,Prex1,3.593,8.004,-1.339
PPP2R3A,2.477,4.188,Ppp2r3a,3.588,5.343,-0.451
NR2F2,9.530,166.807,Nr2f2,3.583,105.100,1.642
TMEM163,1.026,0.571,Tmem163,3.573,0.093,-1.188
ZCCHC6,3.440,4.011,Zcchc6,3.573,8.829,-0.050
TEAD1,3.708,12.471,Tead1,3.558,10.400,0.056
OSR1,6.233,16.209,Osr1,3.539,32.010,0.862
TIMD4,0.426,0.268,Timd4,3.539,0.311,-1.563
BHLHA9,0.000,0.191,Bhlha9,3.534,0.434,-1.880
SMAD7,2.588,34.791,Smad7,3.529,8.756,-0.381
ZFAND3,2.446,30.810,Zfand3,3.514,30.720,-0.438
SKAP2,1.294,5.060,Skap2,3.509,6.148,-1.011
PDE7A,0.000,8.021,Pde7a,3.494,21.150,-1.869
GRAMD3,1.925,4.558,Gramd3,3.470,4.987,-0.665
OLFM4,1.373,0.000,Olfm4,3.465,0.798,-0.951
SCML4,4.244,0.100,Scml4,3.445,0.041,0.288
FMNL2,0.442,16.839,Fmnl2,3.441,23.820,-1.522
ID2,0.316,164.972,Id2,3.441,69.940,-1.612
MEIS1,7.148,56.142,Meis1,3.441,16.940,1.139
RDH10,2.745,5.990,Rdh10,3.426,27.250,-0.274
TYRP1,1.988,0.072,Tyrp1,3.426,0.008,-0.618
COMMD9,0.000,9.008,Commd9,3.421,15.270,-1.850
MN1,3.140,13.192,Mn1,3.421,0.928,-0.110
NR5A2,2.272,0.000,Nr5a2,3.401,0.006,-0.474
ARID1B,3.203,20.315,Arid1b,3.396,9.750,-0.075
MICALL2,0.473,12.200,Micall2,3.396,2.006,-1.486
SOX11,3.582,19.035,Sox11,3.387,31.600,0.074
ATP6AP1L,0.284,3.648,Atp6ap1l,3.377,0.000,-1.616
MYO10,2.556,17.053,Myo10,3.372,25.540,-0.335
SGCD,0.947,1.032,Sgcd,3.372,2.571,-1.167
ADO,0.884,12.694,Ado,3.362,17.450,-1.203
PROK2,1.736,0.215,Prok2,3.362,0.000,-0.720
QRSL1,0.000,6.882,Qrsl1,3.352,4.548,-1.831
BACH2,1.499,5.388,Bach2,3.347,4.271,-0.840
LPP,1.704,6.627,Lpp,3.347,3.445,-0.731
TSC22D1,1.893,73.630,Tsc22d1,3.343,511.500,-0.633
TSHZ3,2.035,1.763,Tshz3,3.343,0.856,-0.564
CTDSPL,0.710,20.676,Ctdspl,3.323,26.100,-1.301
BMPER,5.302,35.613,Bmper,3.318,18.170,0.676
CYP1B1,0.568,11.390,Cyp1b1,3.313,1.099,-1.393
STAU2,2.572,11.457,Stau2,3.308,11.210,-0.304
CXCL12,5.002,76.237,Cxcl12,3.303,9.046,0.589
NKAIN3,3.361,4.106,Nkain3,3.303,1.548,0.022
TACR1,0.663,0.042,Tacr1,3.289,0.130,-1.321
THSD4,3.897,9.653,Thsd4,3.289,17.670,0.227
JARID2,5.822,14.046,Jarid2,3.279,14.470,0.843
FGF20,0.426,0.119,Fgf20,3.269,7.510,-1.479
LSAMP,2.667,5.241,Lsamp,3.269,0.368,-0.247
PEX14,1.215,12.323,Pex14,3.269,16.530,-0.970
EEA1,1.073,2.909,Eea1,3.264,4.481,-1.052
PARD3,3.503,28.487,Pard3,3.254,15.920,0.096
NT5C1B,0.000,0.119,Nt5c1b,3.249,0.254,-1.803
DOCK5,0.284,3.401,Dock5,3.245,33.450,-1.576
DAB1,1.893,2.152,Dab1,3.240,0.612,-0.594
RPS24,2.572,1326.550,Rps24,3.225,760.600,-0.271
KSR2,0.221,0.132,Ksr2,3.215,0.131,-1.615
NTRK3,0.852,1.484,Ntrk3,3.215,2.640,-1.172
TNS1,1.262,5.780,Tns1,3.215,4.869,-0.923
MED30,1.373,20.821,Med30,3.205,20.020,-0.856
MGMT,6.106,15.990,Mgmt,3.181,3.279,0.960
ALDH1A2,4.181,75.746,Aldh1a2,3.176,89.460,0.371
GTF2I,1.972,88.513,Gtf2i,3.166,107.300,-0.527
CDON,1.152,8.352,Cdon,3.156,5.814,-0.966
CALCRL,0.394,1.152,Calcrl,3.151,10.080,-1.464
MAF,1.357,11.633,Maf,3.151,9.820,-0.845
TGFA,1.483,3.833,Tgfa,3.151,3.166,-0.775
ADAM23,0.000,1.627,Adam23,3.147,1.052,-1.774
PRR15,1.404,0.196,Prr15,3.142,0.508,-0.815
LRIG3,2.919,14.126,Lrig3,3.137,32.680,-0.088
LHFPL2,3.992,17.087,Lhfpl2,3.132,30.010,0.322
PON1,3.029,0.249,Pon1,3.122,0.016,-0.037
ETS1,3.377,9.400,Ets1,3.117,6.534,0.102
H2AFY2,0.884,69.849,H2afy2,3.117,62.200,-1.117
PTPRC,2.777,4.815,Ptprc,3.117,0.729,-0.140
EGFLAM,1.925,9.575,Egflam,3.112,3.609,-0.529
NRSN1,2.319,1.027,Nrsn1,3.097,0.587,-0.334
PELI2,0.820,5.150,Peli2,3.097,7.122,-1.150
PRDM2,0.000,12.274,Prdm2,3.097,12.100,-1.760
CCDC54,0.000,0.177,Ccdc54,3.093,0.006,-1.759
TMPO,0.647,67.782,Tmpo,3.093,92.180,-1.265
CCDC6,0.789,15.212,Ccdc6,3.088,33.070,-1.168
PRPF40A,0.489,16.304,Prpf40a,3.088,31.080,-1.374
HDGFL1,0.000,0.000,Hdgfl1,3.083,0.002,-1.756
KLF3,3.045,13.798,Klf3,3.083,10.980,-0.015
CRYBA4,1.231,0.000,Cryba4,3.073,0.284,-0.888
HMGA2,2.777,41.737,Hmga2,3.073,63.400,-0.122
TNP1,1.420,0.000,Tnp1,3.073,0.000,-0.780
DYTN,0.000,0.000,Dytn,3.068,0.000,-1.752
GPC6,0.000,5.136,Gpc6,3.063,32.490,-1.750
POLE4,0.268,19.749,Pole4,3.063,18.910,-1.531
SNX10,1.310,4.947,Snx10,3.063,4.493,-0.839
TBC1D1,0.000,19.566,Tbc1d1,3.063,9.412,-1.750
CAMTA1,1.436,34.766,Camta1,3.053,5.983,-0.763
CHN2,4.166,3.791,Chn2,3.044,3.302,0.418
ST6GALNAC5,2.509,3.272,St6galnac5,3.044,2.589,-0.227
DOCK1,1.215,18.873,Dock1,3.034,24.480,-0.882
EXT1,1.325,13.502,Ext1,3.034,24.710,-0.818
USP46,1.436,5.612,Usp46,3.034,14.140,-0.756
FGGY,4.765,3.625,Fggy,3.029,0.594,0.622
KCNMA1,1.389,0.149,Kcnma1,3.024,0.183,-0.779
PPP1R9A,2.730,8.351,Ppp1r9a,3.014,5.189,-0.119
PAX8,0.852,41.158,Pax8,3.009,16.010,-1.098
WWOX,2.887,6.672,Wwox,3.009,4.815,-0.050
DHRS2,0.852,3.079,Dhrs2,2.999,0.017,-1.094
MBD2,2.099,9.181,Mbd2,2.999,22.430,-0.399
WNT4,0.252,6.285,Wnt4,2.999,10.260,-1.523
FAM19A5,1.499,10.146,Fam19a5,2.990,11.420,-0.704
PRICKLE1,1.278,5.933,Prickle1,2.985,3.391,-0.827
ZFP64,1.310,9.122,Zfp64,2.985,5.790,-0.808
CHD7,0.805,11.041,Chd7,2.980,8.406,-1.118
SUCLG2,0.615,16.513,Suclg2,2.980,59.340,-1.247
BMP7,1.215,27.558,Bmp7,2.970,69.780,-0.858
EIF4E3,1.609,2.968,Eif4e3,2.970,7.061,-0.636
GAP43,2.130,0.449,Gap43,2.970,0.475,-0.372
KIRREL3,3.313,0.331,Kirrel3,2.970,0.189,0.137
MLH3,0.000,3.546,Mlh3,2.970,2.715,-1.723
VAMP3,1.325,29.216,Vamp3,2.970,33.010,-0.794
NTF3,1.404,2.100,Ntf3,2.965,12.480,-0.747
TLE4,1.578,18.707,Tle4,2.960,13.750,-0.649
DGKI,0.316,0.021,Dgki,2.950,0.058,-1.458
TACC1,1.041,4.734,Tacc1,2.946,4.202,-0.954
BTG1,0.915,33.488,Btg1,2.936,29.470,-1.030
MYLIP,2.114,15.550,Mylip,2.921,9.938,-0.360
STXBP6,2.446,4.347,Stxbp6,2.921,13.190,-0.205
TTC8,0.773,7.977,Ttc8,2.916,7.436,-1.116
COPS8,1.325,27.429,Cops8,2.906,35.260,-0.769
WSCD1,0.742,5.791,Wscd1,2.901,3.166,-1.132
SNTB1,5.207,9.347,Sntb1,2.897,0.102,0.812
RGS6,1.057,0.036,Rgs6,2.892,0.123,-0.923
DIO2,0.000,0.016,Dio2,2.882,0.033,-1.698
CREB3L2,0.000,13.005,Creb3l2,2.877,27.670,-1.696
BTBD9,1.562,3.235,Btbd9,2.872,5.242,-0.622
GTF2IRD1,1.625,36.492,Gtf2ird1,2.867,19.130,-0.586
PKDCC,1.199,85.603,Pkdcc,2.867,116.800,-0.827
RBM19,0.347,12.076,Rbm19,2.867,8.965,-1.406
PTPRD,0.252,17.055,Ptprd,2.862,18.850,-1.479
TANC1,4.213,32.617,Tanc1,2.857,14.820,0.510
RGS9,0.000,1.125,Rgs9,2.852,1.147,-1.689
DLGAP1,3.029,3.066,Dlgap1,2.848,0.524,0.075
PRDM16,0.000,0.183,Prdm16,2.843,0.272,-1.686
MOCS1,0.962,3.845,Mocs1,2.838,5.215,-0.962
SIPA1L1,0.899,18.587,Sipa1l1,2.838,34.900,-1.003
OXGR1,1.294,2.503,Oxgr1,2.833,0.050,-0.758
GALC,1.089,9.654,Galc,2.828,5.482,-0.879
EIF2B2,0.000,14.497,Eif2b2,2.813,39.390,-1.677
03-Mar,0.331,1.350,03-Mar,2.813,2.842,-1.400
WNT11,0.505,2.911,Wnt11,2.803,1.195,-1.264
GGH,2.067,13.176,Ggh,2.799,6.989,-0.332
MRO,0.000,0.607,Mro,2.799,0.228,-1.673
STT3B,1.389,44.787,Stt3b,2.799,47.080,-0.689
BBS9,3.534,4.225,Bbs9,2.794,4.359,0.294
MKL1,0.300,9.368,Mkl1,2.794,6.356,-1.418
ETAA1,5.964,6.582,Etaa1,2.789,9.193,1.073
ARL15,0.205,4.947,Arl15,2.784,13.590,-1.492
N4BP1,0.237,8.867,N4bp1,2.784,11.550,-1.466
ATL2,1.120,16.607,Atl2,2.779,14.040,-0.840
MTX2,2.682,26.594,Mtx2,2.779,36.360,-0.041
STK32A,2.682,3.821,Stk32a,2.774,1.939,-0.039
CBLB,0.742,7.650,Cblb,2.769,21.740,-1.082
TCF7L2,1.751,15.670,Tcf7l2,2.764,6.740,-0.477
WNT5A,3.345,2.903,Wnt5a,2.764,2.103,0.235
XYLT1,1.578,2.347,Xylt1,2.764,9.871,-0.569
OMA1,0.000,3.734,Oma1,2.759,5.362,-1.661
DPP6,1.783,21.708,Dpp6,2.745,3.171,-0.452
FMN1,1.957,1.337,Fmn1,2.740,0.394,-0.361
DAGLA,0.000,2.120,Dagla,2.735,4.067,-1.654
CBLN1,1.452,0.130,Cbln1,2.720,0.122,-0.621
ARRDC4,4.891,9.869,Arrdc4,2.710,19.200,0.791
FARP1,0.300,57.402,Farp1,2.710,26.580,-1.389
KANK1,4.102,19.406,Kank1,2.705,6.127,0.535
UBE2T,0.394,20.794,Ube2t,2.701,5.537,-1.311
DDX25,0.000,1.775,Ddx25,2.691,2.665,-1.640
ADCY8,1.231,0.000,Adcy8,2.676,0.379,-0.731
IRX2,1.389,0.613,Irx2,2.666,0.427,-0.635
DTNBP1,4.244,10.829,Dtnbp1,2.661,21.380,0.602
HEY1,1.231,19.521,Hey1,2.661,10.500,-0.725
SCAMP1,3.313,7.900,Scamp1,2.656,10.750,0.269
ZFP36L2,1.909,36.789,Zfp36l2,2.656,35.700,-0.350
MRPS28,1.026,18.745,Mrps28,2.647,16.780,-0.846
PADI2,0.000,0.302,Padi2,2.647,6.052,-1.627
SMAD3,2.319,31.140,Smad3,2.647,26.750,-0.147
DPYSL3,2.572,20.093,Dpysl3,2.642,2.434,-0.031
MMADHC,0.442,33.390,Mmadhc,2.642,33.010,-1.253
FSHB,0.000,0.000,Fshb,2.637,0.000,-1.624
SLC16A7,1.294,0.621,Slc16a7,2.637,1.026,-0.677
DCT,0.600,0.138,Dct,2.622,0.000,-1.127
NEFL,0.000,0.504,Nefl,2.622,5.818,-1.619
ZBTB40,0.600,6.565,Zbtb40,2.598,3.917,-1.117
ISM1,1.089,2.707,Ism1,2.593,22.860,-0.784
PACRGL,0.000,8.069,Pacrgl,2.593,5.459,-1.610
SOX9,3.850,3.519,Sox9,2.588,1.856,0.497
SRGAP3,1.041,6.670,Srgap3,2.588,1.940,-0.812
BCL2L14,3.014,0.057,Bcl2l14,2.583,0.070,0.182
CAMK1D,1.562,7.824,Camk1d,2.583,0.614,-0.501
CPD,0.931,22.084,Cpd,2.573,20.520,-0.877
DACT1,2.004,10.244,Dact1,2.573,6.899,-0.266
ANKRD50,0.000,9.783,Ankrd50,2.558,9.402,-1.599
ATP2B2,1.420,0.246,Atp2b2,2.553,0.479,-0.569
DACH1,2.761,41.702,Dach1,2.553,10.590,0.090
BCL2L11,1.262,8.128,Bcl2l11,2.544,19.970,-0.657
WBSCR17,4.528,5.387,Wbscr17,2.544,0.863,0.746
LRP6,1.483,17.629,Lrp6,2.539,24.690,-0.526
EFR3A,0.820,4.483,Efr3a,2.529,5.514,-0.934
GSE1,1.941,22.613,Gse1,2.519,14.710,-0.274
RASSF10,0.000,8.793,Rassf10,2.519,0.614,-1.587
FAM173B,0.000,4.302,Fam173b,2.514,4.489,-1.586
FAM46A,0.000,0.625,Fam46a,2.514,1.728,-1.586
HNRNPA3,2.209,117.290,Hnrnpa3,2.514,214.100,-0.140
ELK3,0.000,8.770,Elk3,2.509,11.880,-1.584
LMCD1,0.000,3.971,Lmcd1,2.509,4.493,-1.584
CECR5,0.000,17.511,Cecr5,2.504,7.117,-1.583
PPM1H,1.609,6.182,Ppm1h,2.495,4.869,-0.437
PTPRG,2.682,25.885,Ptprg,2.495,12.300,0.082
DLC1,1.799,28.786,Dlc1,2.485,14.910,-0.332
LDLRAD3,2.209,15.146,Ldlrad3,2.485,8.252,-0.127
GPC1,0.252,36.641,Gpc1,2.475,44.090,-1.346
MATN1,0.710,0.053,Matn1,2.475,1.085,-0.989
THUMPD3,0.000,9.254,Thumpd3,2.475,11.050,-1.573
ZFHX3,1.594,7.854,Zfhx3,2.475,1.339,-0.437
LMX1B,0.379,12.738,Lmx1b,2.470,10.490,-1.239
SUCLA2,0.205,17.965,Sucla2,2.470,24.570,-1.385
CDK5RAP2,2.146,15.623,Cdk5rap2,2.460,8.856,-0.147
PCSK5,1.751,8.112,Pcsk5,2.460,1.963,-0.345
DAAM2,0.710,7.036,Daam2,2.451,2.162,-0.979
MB,0.000,0.000,Mb,2.451,0.000,-1.565
ZFAND2A,0.000,9.396,Zfand2a,2.451,7.747,-1.565
CECR2,1.420,10.840,Cecr2,2.446,3.972,-0.522
IRX1,1.657,1.297,Irx1,2.446,1.213,-0.390
PLK2,2.430,12.932,Plk2,2.441,22.860,-0.005
DDC,0.000,0.955,Ddc,2.431,2.036,-1.559
PTPRU,0.000,1.397,Ptpru,2.426,2.609,-1.558
RND3,0.994,10.173,Rnd3,2.421,16.300,-0.772
HTR2A,0.205,0.130,Htr2a,2.416,0.077,-1.366
PCNX,0.410,7.745,Pcnx,2.406,7.392,-1.189
MAGI1,1.641,5.314,Magi1,2.402,3.231,-0.378
RCN1,3.629,91.245,Rcn1,2.402,29.190,0.500
SIPA1L2,1.720,10.016,Sipa1l2,2.402,15.760,-0.336
SPACA3,0.347,0.000,Spaca3,2.402,0.000,-1.239
LGR6,0.331,1.506,Lgr6,2.397,0.303,-1.250
LIPC,1.010,0.827,Lipc,2.397,0.034,-0.751
RCSD1,0.000,3.428,Rcsd1,2.397,23.690,-1.548
HIF1AN,0.789,8.591,Hif1an,2.392,9.483,-0.899
BDNF,2.130,0.075,Bdnf,2.387,0.355,-0.121
CSNK1G3,1.467,7.593,Csnk1g3,2.387,18.130,-0.468
DUSP4,0.584,11.395,Dusp4,2.387,19.590,-1.046
FRYL,0.000,5.993,Fryl,2.387,15.440,-1.545
MSI2,0.962,46.602,Msi2,2.387,29.570,-0.778
GREM1,0.536,0.152,Grem1,2.382,0.115,-1.080
SLC9A9,0.268,1.720,Slc9a9,2.382,0.750,-1.298
TLN2,1.310,3.762,Tln2,2.382,3.981,-0.558
LPCAT3,0.000,9.263,Lpcat3,2.372,12.690,-1.540
LRTM1,0.600,0.000,Lrtm1,2.372,0.000,-1.028
MAML3,2.572,9.515,Maml3,2.372,6.950,0.090
RIPPLY2,0.000,0.000,Ripply2,2.367,1.620,-1.539
LMNB1,0.268,59.522,Lmnb1,2.362,124.500,-1.291
CMPK2,1.736,2.289,Cmpk2,2.357,0.892,-0.307
SDHB,0.000,26.935,Sdhb,2.357,74.540,-1.535
TMEM66,0.521,70.671,Tmem66,2.357,31.720,-1.083
DHRS3,2.146,9.633,Dhrs3,2.353,14.360,-0.097
DMRT2,2.288,0.000,Dmrt2,2.353,0.026,-0.030
MYL10,2.035,0.992,Myl10,2.353,0.012,-0.151
BCL11A,1.057,0.363,Bcl11a,2.348,0.050,-0.699
GLI2,0.631,10.175,Gli2,2.348,2.585,-0.995
ANK3,1.073,7.018,Ank3,2.338,10.900,-0.685
ARHGEF16,0.000,1.144,Arhgef16,2.338,0.861,-1.529
MEPE,0.284,0.000,Mepe,2.333,0.000,-1.267
RASL11B,0.426,3.687,Rasl11b,2.333,9.782,-1.148
CACNA1B,0.000,0.141,Cacna1b,2.328,0.085,-1.526
DDHD1,1.878,3.420,Ddhd1,2.328,2.848,-0.220
PDZD2,0.000,2.127,Pdzd2,2.328,2.295,-1.526
SYT7,0.458,0.528,Syt7,2.328,9.536,-1.121
FZD2,0.000,31.528,Fzd2,2.323,80.000,-1.524
PHF19,0.000,32.277,Phf19,2.313,34.280,-1.521
CSF3R,0.000,2.984,Csf3r,2.308,0.370,-1.519
FAM49B,2.288,13.149,Fam49b,2.308,13.430,-0.010
DUSP5,0.394,27.566,Dusp5,2.299,19.950,-1.160
SLC35B3,0.284,5.433,Slc35b3,2.299,7.745,-1.254
SLC14A2,2.777,0.654,Slc14a2,2.294,0.013,0.215
MEGF9,0.000,8.536,Megf9,2.289,19.350,-1.513
WDSUB1,1.499,6.043,Wdsub1,2.289,5.449,-0.406
BMPR1B,1.262,0.874,Bmpr1b,2.284,1.791,-0.543
REEP3,1.609,4.203,Reep3,2.284,21.680,-0.342
APP,0.789,249.127,App,2.279,107.300,-0.851
BASP1,1.089,46.807,Basp1,2.274,34.500,-0.646
EFNA5,8.631,9.124,Efna5,2.269,7.036,1.927
UNC5C,2.714,33.870,Unc5c,2.269,29.040,0.199
BEND3,0.000,4.037,Bend3,2.264,11.500,-1.505
SEMA4D,0.000,10.633,Sema4d,2.255,6.436,-1.501
MEOX1,2.193,52.428,Meox1,2.250,39.440,-0.027
RPLP1,0.789,1932.780,Rplp1,2.250,1731.000,-0.838
ANKRD16,0.000,7.455,Ankrd16,2.245,7.628,-1.498
LTBP2,0.805,0.821,Ltbp2,2.245,0.021,-0.825
